,Item_Name,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Sum,Production_Rank
0,Wheat and products,138829,144643,147325,156273,168822,169832,171469,179530,189658,195255,201783,214205,217275,217451,220283,224956,240862,257776,264343,273692,283382,294800,317155,330878,338196,348437,356153,354596,359585,363778,380724,469016,473295,476036,476066,480911,488600,505035,498511,512675,527271,522973,504451,527394,532263,537279,529271,562239,557245,549926,578179,576597,587492,19055842,6
1,Rice (Milled Equivalent),122700,131842,139507,148304,150056,155583,158587,164614,167922,181716,185657,187127,191758,195967,204381,205952,214750,221343,223570,229325,234586,250574,260589,264885,271519,272309,280670,287729,293827,299977,293338,298826,308837,313264,321923,328857,332845,337213,346259,349889,352422,355828,355855,361107,366025,372629,378698,389708,394221,398559,404152,406787,410880,14352748,8
2,Barley and products,46180,48915,51642,54184,54945,55463,56424,60455,65501,65772,70826,69288,73500,72058,75226,73534,74168,78916,81545,80071,81839,82815,84557,86973,88994,87821,84312,81968,79433,80599,77854,112318,116032,119588,114960,106497,102161,98268,93490,95723,93758,95068,104875,102055,97185,100981,93310,98209,99135,92563,92570,88766,99452,4396562,20
3,Maize and products,168039,168305,172905,175468,190304,200860,213050,215613,221953,226232,238638,251871,261893,243819,264376,269940,277601,304501,323106,328668,324825,333730,323991,335023,322249,344875,351962,338042,356443,360056,373551,416329,420184,441087,439297,461475,471862,473702,486020,499465,507646,508253,524364,545024,549036,543280,573892,592231,557940,584337,603297,608730,671300,19792601,5
4,Millet and products,19075,19019,19740,20353,18377,20860,22997,21785,23966,27091,23820,20460,25306,21259,23564,21549,21393,22116,19767,20330,21301,20797,24780,22723,20519,21765,19220,23079,23213,24112,19951,25406,22589,24532,22338,24473,24570,24422,23485,24835,25059,23044,26150,25789,25496,25997,26750,26373,24575,27039,25740,26105,26346,1206325,38
5,"Cereals, Other",7128,7946,7821,7958,8121,8001,7823,7811,8022,8168,8858,8859,9001,9166,9534,8551,8286,9004,8961,8047,8949,8869,8185,8889,8681,8524,10121,10174,10834,11410,13251,13675,15662,14948,16049,17118,19117,19194,18465,19745,20472,20788,21400,23946,23465,21246,22632,23461,24344,22176,23664,24489,24359,718240,49
6,Potatoes and products,129648,125766,133709,133686,131968,137447,138913,142170,137107,140562,133576,138772,143799,140015,137792,134002,138958,142779,144684,125667,135006,131395,130850,142886,144541,140442,141325,144388,145862,143739,136735,188571,213449,198565,205888,218742,226296,228438,226892,245310,238191,240423,242905,255466,250928,236067,245490,251263,250453,261658,280960,285068,286350,9415914,10
7,Sugar cane,27544,29953,31218,30829,27664,34009,26314,36767,34820,31152,28827,24715,28211,32632,36577,31258,32074,33088,34783,30016,32952,30117,28680,31336,34264,31151,38875,42220,45923,48413,49522,54743,51209,52098,54019,44913,53635,61303,60792,53742,44900,44959,44113,42880,40046,44813,53123,60469,59562,55100,63209,59241,59529,2166758,32
8,Sugar beet,1034,1164,1299,1101,1318,1213,1503,1493,1343,1521,1172,2084,1677,1685,1420,1817,2887,2189,2201,1200,1803,1632,1203,2136,2885,2687,2367,3116,3286,1842,2996,5021,4877,5859,6610,8555,6096,6320,8943,6118,7340,9098,2833,7900,8098,14455,10089,8886,7044,10444,16539,15245,12451,245061,80
9,Sugar (Raw Equivalent),39977,41711,42235,43790,45914,47636,49493,50797,53562,56194,58299,59361,61114,61467,61110,64077,66254,68873,73246,72468,71440,74586,74467,78187,79261,81052,84839,85440,87436,89156,91733,103643,103150,103975,108226,111700,115412,116320,113552,116928,120314,122278,126507,127100,126657,128076,129590,133161,132589,132952,136674,141045,143738,4668785,17
